City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sosnogorsk,63.6023,53.8817,-9.14,99,96,1.34,RU,1698721554
1,susuman,62.7833,148.1667,-13.34,94,82,0.45,RU,1698721554
2,adamstown,-25.066,-130.1015,23.0,76,100,3.06,PN,1698721376
3,auki,-8.7676,160.7034,27.86,82,98,0.78,SB,1698721554
4,papatowai,-46.5619,169.4708,14.9,66,100,2.51,NZ,1698721554
5,lichinga,-13.3128,35.2406,20.05,77,100,5.36,MZ,1698721555
6,montagu,-40.7667,144.9667,12.49,58,32,7.59,AU,1698721555
7,malpe,13.35,74.7167,25.61,81,100,1.95,IN,1698721555
8,port-aux-francais,-49.35,70.2167,3.8,89,100,17.02,TF,1698721555
9,san patricio,28.017,-97.5169,8.43,72,100,6.04,US,1698721476
10,mejit,10.2753,170.8646,28.23,79,98,8.56,MH,1698721556
11,waitangi,-43.9535,-176.5597,14.34,83,100,5.81,NZ,1698721465
12,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,62,0,5.36,RU,1698721556
13,tukrah,32.5341,20.5791,19.95,86,5,2.46,LY,1698721556
14,tolanaro,-25.0319,46.9987,24.04,88,75,0.0,MG,1698721478
15,ivdel',60.6911,60.4206,-4.43,65,97,4.02,RU,1698721556
16,edinburgh of the seven seas,-37.0676,-12.3116,13.83,95,100,12.36,SH,1698721376
17,smithers,54.7804,-127.1743,-2.82,86,20,1.03,CA,1698721552
18,ta`u,-14.2336,-169.5144,26.97,78,30,10.53,AS,1698721557
19,codrington,-38.2667,141.9667,13.95,50,81,7.04,AU,1698721557
20,ushuaia,-54.8,-68.3,2.81,70,75,6.69,AR,1698721468
21,sisimiut,66.9395,-53.6735,-1.44,61,84,4.53,GL,1698721557
22,dzhalagash,45.0833,64.6667,6.75,68,6,5.42,KZ,1698721558
23,west island,-12.1568,96.8225,27.99,78,75,6.69,CC,1698721409
24,tazovsky,67.4667,78.7,-17.06,97,34,2.55,RU,1698721558
25,bel ombre,-4.6167,55.4167,26.91,78,40,2.06,SC,1698721558
26,ribeira grande,38.5167,-28.7,19.87,84,41,8.94,PT,1698721558
27,praia da vitoria,38.7333,-27.0667,19.31,77,40,7.14,PT,1698721558
28,enewetak,11.3474,162.3373,28.33,80,100,7.67,MH,1698721394
29,bilibino,68.0546,166.4372,-15.73,78,70,1.25,RU,1698721392
30,hithadhoo,-0.6,73.0833,26.99,80,100,4.88,MV,1698721477
31,grytviken,-54.2811,-36.5092,2.74,82,88,2.98,GS,1698721458
32,suixi,33.8907,116.7747,26.88,33,0,5.82,CN,1698721322
33,angaur state,6.906,134.13,28.53,73,22,2.15,PW,1698721559
34,bethel,41.3712,-73.414,9.45,77,100,2.57,US,1698721421
35,port alfred,-33.5906,26.891,14.3,80,21,6.8,ZA,1698721559
36,yampil',51.95,33.7833,9.56,85,100,3.05,UA,1698721560
37,robertsport,6.7533,-11.3686,26.17,84,1,2.66,LR,1698721560
38,avarua,-21.2078,-159.775,24.03,73,75,6.17,CK,1698721560
39,anadyr,64.75,177.4833,1.67,93,40,3.0,RU,1698721496
40,blackmans bay,-43.0167,147.3167,16.07,49,81,1.34,AU,1698721466
41,saipan,15.1355,145.701,31.39,74,75,6.69,MP,1698721470
42,tiksi,71.6872,128.8694,-20.28,100,85,1.02,RU,1698721560
43,hadibu,12.65,54.0333,26.41,74,98,4.29,YE,1698721561
44,yellowknife,62.456,-114.3525,-2.55,99,75,2.06,CA,1698721288
45,saldanha,-33.0117,17.9442,16.03,68,2,4.59,ZA,1698721464
46,uturoa,-16.7333,-151.4333,26.41,80,10,8.07,PF,1698721561
47,gadzhiyevo,69.2551,33.3362,-5.67,93,100,5.06,RU,1698721561
48,ilulissat,69.2167,-51.1,2.01,51,7,7.2,GL,1698721561
49,chinde,26.8418,88.0763,19.24,54,56,1.04,NP,1698721561
50,kodiak,57.79,-152.4072,7.73,93,100,3.6,US,1698721562
51,rosetta,31.4044,30.4164,24.14,83,97,4.61,EG,1698721562
52,iqaluit,63.7506,-68.5145,-12.15,78,75,7.72,CA,1698721474
53,whitehorse,60.7161,-135.0538,1.43,93,100,2.57,CA,1698721562
54,puerto natales,-51.7236,-72.4875,0.45,77,1,1.75,CL,1698721562
55,invercargill,-46.4,168.35,15.01,78,100,2.24,NZ,1698721563
56,changling,44.2653,124.0005,15.29,37,94,8.05,CN,1698721527
57,novodvinsk,64.4165,40.8122,-8.45,97,69,1.95,RU,1698721563
58,mount pearl,47.5166,-52.7813,0.81,94,100,3.09,CA,1698721563
59,nova sintra,14.8667,-24.7167,23.55,67,64,1.17,CV,1698721563
60,mount isa,-20.7333,139.5,37.87,20,10,2.57,AU,1698721484
61,suriapet,17.15,79.6167,24.96,75,7,2.82,IN,1698721564
62,tonghae,37.5439,129.1069,20.16,45,0,1.39,KR,1698721265
63,fort mcmurray,56.7268,-111.381,-3.23,68,100,2.06,CA,1698721564
64,longgang,37.6508,120.3286,21.68,57,0,6.4,CN,1698721564
65,longboat key,27.4125,-82.659,24.45,75,0,2.57,US,1698721556
66,pisco,-13.7,-76.2167,19.45,82,15,7.2,PE,1698721565
67,semey,50.4111,80.2275,8.12,93,75,3.0,KZ,1698721565
68,maintirano,-18.0667,44.0167,25.16,75,61,3.98,MG,1698721340
69,saint-philippe,-21.3585,55.7679,24.77,77,16,4.3,RE,1698721565
70,hermanus,-34.4187,19.2345,13.37,81,26,7.07,ZA,1698721383
71,languyan,5.2618,120.0807,30.58,63,99,0.19,PH,1698721565
72,olonkinbyen,70.9221,-8.7187,1.89,75,100,5.07,SJ,1698721458
73,wailua homesteads,22.0669,-159.378,26.44,75,75,3.6,US,1698721566
74,margaret river,-33.95,115.0667,19.7,40,61,0.37,AU,1698721370
75,safotu,-13.4513,-172.4018,27.58,86,74,10.64,WS,1698721566
76,stanley,54.868,-1.6985,7.09,95,75,2.57,GB,1698721566
77,belo sur tsiribihina,-19.7,44.55,23.32,77,11,1.11,MG,1698721566
78,badger,64.8,-147.5333,-0.05,91,75,0.0,US,1698721492
79,albany,42.6001,-73.9662,5.85,82,100,3.74,US,1698721567
80,crane,31.3974,-102.3501,4.75,48,1,1.98,US,1698721567
81,slavyanka,42.8633,131.3847,14.2,74,80,2.63,RU,1698721567
82,altamont,42.2068,-121.7372,4.38,46,0,1.54,US,1698721567
83,orange cove,36.6244,-119.3137,17.0,51,0,1.54,US,1698721567
84,kitgum,3.2783,32.8867,19.54,88,83,1.9,UG,1698721568
85,klyuchi,52.2667,79.1667,5.76,96,100,2.51,RU,1698721381
86,longyearbyen,78.2186,15.6401,0.91,75,75,7.2,SJ,1698721568
87,bazarnyy syzgan,53.7512,46.7535,8.34,89,100,7.56,RU,1698721568
88,talnakh,69.4865,88.3972,-16.55,96,100,2.12,RU,1698721568
89,ust-nera,64.5667,143.2,-11.93,98,100,2.31,RU,1698721569
90,kermit,31.8576,-103.0927,4.91,48,0,2.06,US,1698721454
91,hawaiian paradise park,19.5933,-154.9731,26.04,88,100,2.57,US,1698721569
92,vernon,50.2581,-119.2691,1.27,71,25,1.03,CA,1698721569
93,natchez,31.5604,-91.4032,7.92,93,100,4.12,US,1698721569
94,arraial do cabo,-22.9661,-42.0278,24.17,91,100,2.41,BR,1698721569
95,puerto madero,14.7208,-92.4215,27.25,80,100,1.92,MX,1698721263
96,nova vicosa,-17.8919,-39.3719,24.49,77,76,5.9,BR,1698721570
97,hamilton,39.1834,-84.5333,4.11,81,100,3.6,US,1698721346
98,castelo branco,39.8222,-7.4909,8.46,93,100,0.73,PT,1698721570
99,miranda,3.2499,-76.2281,21.88,91,100,0.58,CO,1698721267
100,tual,-5.6667,132.75,27.57,80,42,3.43,ID,1698721570
101,vanino,49.0869,140.2543,7.18,38,88,2.47,RU,1698721571
102,vilyuchinsk,52.9306,158.4028,7.15,58,16,4.41,RU,1698721391
103,umba,66.6871,34.3429,-4.3,75,75,4.35,RU,1698721571
104,georgetown,5.4112,100.3354,31.96,83,20,1.54,MY,1698721157
105,as sulayyil,20.4607,45.5779,25.14,32,97,3.61,SA,1698721571
106,acarau,-2.8856,-40.12,25.74,75,76,5.48,BR,1698721497
107,nurabad,34.0734,47.9725,12.95,32,100,1.6,IR,1698721572
108,college,64.8569,-147.8028,-0.01,86,75,0.0,US,1698721572
109,waddan,29.1614,16.139,20.25,50,63,3.32,LY,1698721572
110,happy valley-goose bay,53.3168,-60.3315,-2.83,59,20,5.14,CA,1698721540
111,stettler,52.3168,-112.7186,-1.14,86,100,5.14,CA,1698721371
112,maur,30.0833,75.25,24.53,33,2,2.07,IN,1698721572
113,aasiaat,68.7098,-52.8699,-7.8,83,39,5.5,GL,1698721573
114,fortuna,40.5982,-124.1573,9.51,75,0,0.0,US,1698721332
115,punta del este,-34.9667,-54.95,12.71,77,0,4.63,UY,1698721573
116,sofo-birnin-gwari,11.0154,6.7804,22.85,30,100,2.68,NG,1698721573
117,cururupu,-1.8283,-44.8683,24.61,87,5,2.03,BR,1698721573
118,ouadda,8.0777,22.4007,21.16,73,57,1.84,CF,1698721574
119,port douglas,-16.4833,145.4667,25.72,54,98,4.75,AU,1698721574
120,toliara,-23.35,43.6667,21.71,83,66,4.31,MG,1698721574
121,dudinka,69.4058,86.1778,-16.32,97,98,0.89,RU,1698721574
122,gurupi,-11.7292,-49.0686,30.34,28,64,1.91,BR,1698721455
123,abou el hassan,36.4166,1.1962,17.69,84,76,1.82,DZ,1698721575
124,tricase,39.9304,18.3553,20.73,80,93,9.76,IT,1698721575
125,monrovia,6.3005,-10.7969,25.52,87,33,2.13,LR,1698721575
126,atafu village,-8.5421,-172.5159,29.14,73,26,6.45,TK,1698721575
127,revda,56.801,59.9303,-4.96,95,95,1.02,RU,1698721575
128,howrah,22.5892,88.3103,27.0,78,61,0.0,IN,1698721576
129,taltal,-25.4,-70.4833,16.77,78,23,2.89,CL,1698721221
130,island harbour,50.724,-1.2758,11.1,92,100,4.77,GB,1698721576
131,kaa-khem,51.6833,94.7333,-0.33,83,100,1.04,RU,1698721576
132,thompson,55.7435,-97.8558,-6.91,79,100,2.57,CA,1698721277
133,marsa alam,25.0757,34.8918,25.41,67,0,2.16,EG,1698721577
134,puerto ayora,-0.7393,-90.3518,23.64,91,100,1.34,EC,1698721379
135,punta arenas,-53.15,-70.9167,3.06,60,0,4.63,CL,1698721376
136,vikulovo,56.8167,70.6107,-10.65,95,47,3.55,RU,1698721577
137,wakkanai,45.4094,141.6739,14.49,85,75,9.26,JP,1698721577
138,alofi,-19.0595,-169.9187,26.94,65,75,6.69,NU,1698721397
139,minas de marcona,-15.2119,-75.1103,14.81,84,70,5.31,PE,1698721578
140,la passe,45.5549,-0.8967,15.55,83,60,10.78,FR,1698721578
141,sinabang,2.4803,96.3801,27.09,78,99,1.67,ID,1698721437
142,isafjordur,66.0755,-23.124,1.52,72,38,1.69,IS,1698721482
143,moires,35.0532,24.8744,17.42,74,0,1.86,GR,1698721579
144,lindi,-10.0,39.7167,23.73,90,97,1.23,TZ,1698721579
145,napili-honokowai,20.9708,-156.6705,28.51,88,28,4.31,US,1698721579
146,tabou,4.423,-7.3528,25.08,90,76,0.76,CI,1698721461
147,lido adriano,44.4123,12.3086,19.54,81,79,5.69,IT,1698721580
148,alexandria,31.2156,29.9553,22.3,83,99,4.67,EG,1698721191
149,inzhavino,52.3185,42.4937,10.06,80,74,6.68,RU,1698721580
150,salacgriva,57.7536,24.3581,7.55,94,97,4.64,LV,1698721580
151,viedma,-40.8135,-62.9967,5.77,76,1,3.83,AR,1698721580
152,puerto francisco de orellana,-0.4667,-76.9667,23.96,87,100,1.06,EC,1698721581
153,hwange,-18.3693,26.5019,20.97,75,69,2.34,ZW,1698721581
154,constantia,44.1833,28.65,11.5,83,2,3.35,RO,1698721581
155,waingapu,-9.6567,120.2641,31.52,57,3,5.14,ID,1698721506
156,luderitz,-26.6481,15.1594,16.28,47,2,2.56,NA,1698721581
157,hauterive,46.0901,3.4459,13.42,83,31,3.9,FR,1698721581
158,lebu,-37.6167,-73.65,7.36,82,94,3.91,CL,1698721306
159,sunrise manor,36.2111,-115.0731,16.59,13,0,4.47,US,1698721582
160,taro,-8.3862,115.28,27.0,46,4,2.11,ID,1698721582
161,tura,25.5198,90.2201,25.37,68,64,0.51,IN,1698721477
162,vorkuta,67.5,64.0,-9.82,95,100,4.33,RU,1698721582
163,goure,13.9835,10.2704,26.51,17,81,3.99,NE,1698721583
164,puerto ayacucho,5.6639,-67.6236,25.4,84,100,1.88,VE,1698721583
165,heathrow,28.7633,-81.3722,23.36,90,0,2.06,US,1698721583
166,kristiansund,63.1115,7.732,-2.64,80,0,1.54,NO,1698721400
167,bredasdorp,-34.5322,20.0403,13.16,80,0,5.24,ZA,1698721583
168,llanes,43.4198,-4.7549,13.83,62,1,3.34,ES,1698721584
169,fort bragg,35.139,-79.006,21.91,75,0,2.06,US,1698721359
170,nuevitas,21.5453,-77.2644,25.26,90,40,1.02,CU,1698721584
171,iskateley,67.6803,53.1512,-10.55,97,89,2.68,RU,1698721584
172,thunder bay,48.4001,-89.3168,-3.01,63,100,2.57,CA,1698721304
173,qaqortoq,60.7167,-46.0333,5.61,61,99,11.73,GL,1698721584
174,patacamaya,-17.2333,-67.9167,11.42,32,88,1.51,BO,1698721584
175,nkove,-7.95,30.85,25.4,64,94,2.28,TZ,1698721585
176,borsad,22.4167,72.9,23.02,41,12,2.73,IN,1698721585
177,mailsi,29.8003,72.1758,26.15,31,0,2.13,PK,1698721585
178,hirara,24.8,125.2833,27.92,65,20,6.69,JP,1698721585
179,nabire,-3.3667,135.4833,27.98,83,24,1.68,ID,1698721585
180,vila franca do campo,37.7167,-25.4333,19.23,99,67,4.63,PT,1698721586
181,juan griego,11.0817,-63.9655,26.69,84,93,3.55,VE,1698721586
182,najran,17.4924,44.1277,19.36,53,39,1.73,SA,1698721586
183,pacific grove,36.6177,-121.9166,18.03,43,0,2.06,US,1698721586
184,el nido,11.1858,119.3956,29.32,73,100,5.41,PH,1698721586
185,chanar ladeado,-33.3252,-62.0383,14.04,46,100,2.98,AR,1698721586
186,salalah,17.0151,54.0924,25.05,83,0,2.06,OM,1698721452
187,genhe,50.7833,121.5167,-3.35,63,100,0.46,CN,1698721587
188,camp verde,34.5636,-111.8543,12.32,14,0,3.35,US,1698721587
189,berezovo,63.9381,65.0419,-9.38,87,100,3.05,RU,1698721587
190,ocozocoautla de espinosa,16.7667,-93.3667,20.78,92,83,3.88,MX,1698721587
191,daru,-9.0763,143.2092,27.26,72,91,5.74,PG,1698721587
192,las cruces,32.3123,-106.7783,7.97,48,0,1.54,US,1698721588
193,hastings,50.8552,0.5729,12.51,52,48,2.94,GB,1698721588
194,laguna,38.421,-121.4238,16.84,50,0,2.06,US,1698721427
195,moree,-29.4667,149.85,36.19,11,12,8.76,AU,1698721480
196,dapa,9.7594,126.0531,28.39,70,78,1.63,PH,1698721588
197,nieuw amsterdam,5.8833,-55.0833,27.23,87,61,4.23,SR,1698721588
198,kuchaiburi,22.2667,86.1667,23.91,67,0,1.22,IN,1698721578
199,holualoa,19.6228,-155.9522,26.39,77,20,5.66,US,1698721589
200,puerto deseado,-47.7503,-65.8938,4.09,59,17,5.31,AR,1698721589
201,siguiri,11.6667,-9.5,25.02,53,41,0.75,GN,1698721397
202,saltpond,5.2091,-1.0606,25.54,92,23,1.93,GH,1698721589
203,alamos,27.0167,-108.9333,22.04,47,0,1.14,MX,1698721589
204,fray luis beltran,-39.3167,-65.7667,11.24,25,82,9.3,AR,1698721590
205,greymouth,-42.4667,171.2,15.06,60,59,4.22,NZ,1698721590
206,colonia,50.9333,6.95,11.03,87,40,2.57,DE,1698721487
207,haiku-pauwela,20.9219,-156.3051,26.13,76,20,6.69,US,1698721590
208,dellys,36.9172,3.9131,19.76,82,90,6.34,DZ,1698721590
209,homer,59.6425,-151.5483,7.24,87,0,0.0,US,1698721590
210,chonchi,-42.6128,-73.8092,2.84,96,4,0.58,CL,1698721591
211,afaahiti,-17.75,-149.2833,26.93,82,39,8.74,PF,1698721591
212,srivardhan,18.0333,73.0167,26.79,55,7,1.78,IN,1698721591
213,dampit,-8.2116,112.7493,32.58,42,8,2.72,ID,1698721591
214,rikaze,29.25,88.8833,6.07,45,2,1.3,CN,1698721591
215,porto novo,6.4965,2.6036,24.9,85,82,1.68,BJ,1698721591
216,fomboni,-12.28,43.7425,26.83,73,16,1.51,KM,1698721592
217,wladyslawowo,54.7909,18.4009,11.63,90,100,6.53,PL,1698721592
218,dolores,-36.3132,-57.6792,7.45,72,42,4.06,AR,1698721592
219,polyarnyy,69.1989,33.4478,-5.47,93,100,5.04,RU,1698721404
220,solnechnyy,50.7214,136.6319,0.57,51,73,2.28,RU,1698721592
221,tazacorte,28.629,-17.9293,22.54,91,0,3.13,ES,1698721461
222,tughyl,47.7252,84.2063,9.38,91,100,8.3,KZ,1698721593
223,cadale,2.7603,46.3222,27.33,76,39,2.03,SO,1698721593
224,hammerfest,70.6634,23.6821,2.25,80,40,5.14,NO,1698721593
225,hooper,41.1638,-112.1224,3.95,61,0,0.0,US,1698721593
226,kuala terengganu,5.3302,103.1408,30.97,74,40,1.03,MY,1698721593
227,oranjemund,-28.55,16.4333,16.15,54,0,2.28,NA,1698721593
228,flin flon,54.7682,-101.865,-10.1,87,12,1.46,CA,1698721594
229,okhotsk,59.3833,143.3,-0.54,95,100,4.96,RU,1698721594
230,port elizabeth,-33.918,25.5701,15.16,83,0,5.14,ZA,1698721594
231,dunda,-8.1167,34.25,20.44,72,100,3.04,TZ,1698721594
232,vorgashor,67.5833,63.95,-10.12,95,100,4.27,RU,1698721398
233,ingeniero guillermo n. juarez,-23.9,-61.85,24.08,74,100,5.9,AR,1698721594
234,dunedin,-45.8742,170.5036,15.45,75,100,3.13,NZ,1698721450
235,ola,59.5833,151.2833,0.08,65,22,2.48,RU,1698721518
236,itacarambi,-15.1022,-44.0919,30.01,36,100,1.53,BR,1698721595
237,griffith,41.5284,-87.4237,1.05,63,0,2.06,US,1698721595
238,port lincoln,-34.7333,135.8667,15.9,46,30,5.09,AU,1698721595
239,baise city,23.8997,106.6133,25.75,99,98,0.42,CN,1698721595
240,alice springs,-23.7,133.8833,29.75,13,3,6.69,AU,1698721382
241,marquette,46.5333,-87.6335,-2.35,58,100,1.34,US,1698721596
242,mattarello,46.0079,11.1285,16.58,93,72,2.18,IT,1698721596
243,cabo san lucas,22.8909,-109.9124,26.53,80,37,0.89,MX,1698721328
244,ancud,-41.8697,-73.8203,4.87,89,11,2.74,CL,1698721596
245,cassilandia,-19.1133,-51.7342,25.34,72,100,1.4,BR,1698721389
246,kodinsk,58.6881,99.1844,-9.76,62,5,2.38,RU,1698721596
247,ulsteinvik,62.3432,5.8487,2.64,65,0,3.13,NO,1698721597
248,akureyri,65.6835,-18.0878,-8.04,93,35,0.0,IS,1698721597
249,balikpapan,-1.2675,116.8289,30.55,70,20,2.06,ID,1698721471
250,dalandzadgad,43.5708,104.425,9.75,49,76,4.01,MN,1698721597
251,port saint john's,-31.6229,29.5448,14.86,87,100,3.06,ZA,1698721491
252,dawukou,39.0419,106.3958,18.35,17,3,2.16,CN,1698721597
253,dwarka,22.2394,68.9678,27.85,50,0,2.61,IN,1698721598
254,kuanda,56.3161,116.0806,-9.15,41,69,0.96,RU,1698721598
255,vilhena,-12.7406,-60.1458,21.81,89,91,2.61,BR,1698721598
256,mendoza,-32.8908,-68.8272,13.74,23,0,3.09,AR,1698721598
257,mil'kovo,55.6078,37.7956,7.41,96,90,3.08,RU,1698721598
258,tateyama,34.9833,139.8667,20.61,55,43,1.89,JP,1698721598
259,kiknur,57.3034,47.2011,-1.5,98,98,2.33,RU,1698721599
260,port mathurin,-19.6833,63.4167,24.55,80,38,8.69,MU,1698721599
261,ataq,14.5377,46.8319,19.47,76,70,1.99,YE,1698721599
262,tralee,52.2704,-9.7026,9.93,88,85,2.37,IE,1698721599
263,posse,-14.0931,-46.3694,27.69,30,100,2.22,BR,1698721323
264,sanctuary point,-35.1114,150.629,22.21,41,0,6.66,AU,1698721599
265,tofol,5.3248,163.0078,26.88,89,100,3.09,FM,1698721600
266,kyzyl-mazhalyk,51.1333,90.6,-1.16,46,100,0.89,RU,1698721600
267,antofagasta,-23.65,-70.4,16.6,69,37,3.59,CL,1698721564
268,lihue,21.9789,-159.3672,26.77,74,75,3.6,US,1698721496
269,isoka,-10.1606,32.6335,19.88,67,69,1.84,ZM,1698721600
270,malango,-2.9627,119.9001,30.97,40,25,2.38,ID,1698721600
271,alpine,32.835,-116.7664,18.13,24,0,0.0,US,1698721600
272,salinopolis,-0.6136,-47.3561,26.56,80,61,3.86,BR,1698721601
273,buka,40.8108,69.1986,14.39,68,100,5.24,UZ,1698721601
274,carnarvon,-24.8667,113.6333,26.51,46,0,4.24,AU,1698721580
275,sao vicente,-23.9631,-46.3919,30.15,26,92,0.84,BR,1698721601
276,siwa oasis,29.2041,25.5195,21.05,78,2,2.64,EG,1698721601
277,quezon,7.7303,125.0989,29.51,70,100,1.47,PH,1698721601
278,tshabong,-26.05,22.45,12.9,75,3,7.94,BW,1698721341
279,alaghsas,17.0187,8.0168,25.59,15,100,4.97,NE,1698721404
280,ciudad lazaro cardenas,17.9583,-102.2,26.38,88,13,1.68,MX,1698721493
281,yuzhno-kurilsk,44.0306,145.8556,11.32,81,21,5.15,RU,1698721518
282,wankyi,7.7392,-2.1046,22.84,89,2,1.79,GH,1698721603
283,lagoa,39.05,-27.9833,18.98,82,17,12.09,PT,1698721603
284,margate,51.3813,1.3862,8.16,96,7,3.36,GB,1698721603
